영천시  중소기업 대기질 환경 개선 지원사업 추진,신청방법은 시 홈페이지 공고문을 확인해 9일부터 27일까지 신청하면 되며 코로나19 확산 방지를 위해 우편으로 접수받아 우선순위에 따라 대상자를 선정해 사업을 추진할 예정이다. 앞서 영천시는 전년도 하반기 정부... 
‘콜록콜록’ 의심증세에도 근무시킨 어린이집 행정처분 검토,포스코어린이집 ‘확진’ 교사  증상에도 일해…”원장 죄송하다는 말만 되풀이” 경북 포항시는 교사가 기침 등 신종 코로나 바이러스 감염증(코로나19)증세를 보였는데도 긴급돌봄 업무에서 빼지 않은... 
코로나19 소상공인 경영안정자금 신청 3조원 육박,코로나19 확산으로 소상공인에 지원되는 긴급경영안정자금 신청 규모가 3조원에 육박하는 것으로 집계됐다. 소상공인시장진흥공단은 6일 기준 공단에 접수된 경영안정자금 신청금액이 2조9849억원으로 집계됐다고... 
한국-중국 여자축구 올림픽 플레이오프  4월9일과 14일 개최,그러나 한국에서 코로나19가 빠르게 확산되고  용인시가 난색을 표하면서 경기 진행이 어려워졌다. 결국... 이 경기는 3월4일 예정이었지만 역시 코로나19로 인해 연기된 바 있다. [스포츠투데이 ]
완도군  산림분야 재정지원 일자리사업 추진,완도군 관계자는 “일자리 사업 추진 시에도 마스크 착용과 손 소독제 사용  1일 3회 체온 측정 등 코로나19 예방 및 확산 방지를 위한 행동 수칙을 철저히 지키겠다”고 밝혔다. 이제건 기자
&quot;책임경영 강화&quot; 김태오 DGB금융 회장  자사주 매입,DGB금융 관계자는 &quot;최근 장기 저성장·저금리 기조로 인한 금융산업 전반의 주가 하락과 코로나19로 인한 국내경기의 침체 등이 우려되는 가운데서도 지역의 확고한 기반을 바탕으로 신시장 공략  고객 가치 최우선의... 
영화관 주말 관객 25만 깨져…사상 최저,방문객·개봉작 감소 악순환 평일엔 하루 5만명 그치기도 코로나19 신규 확진자가 감소하는데도 극장... 영화관 방문객 감소 원인은 코로나19로 인한 극장 방문 기피다. 그에 따라 신작 영화가 개봉을 줄줄이... 
제주4‧3 관련 문화제  코로나19로 연기‧보류 잇따라,제주4‧3의 아픔을 문화예술로 승화시켜 온 주요 축제들이 코로나19 확산 방지를 위해 잇따라 연기 또는... 예정이었으나 코로나19 여파로 7월로 연기됐다. 지역미술계에서 25년 넘게 4‧3을 치열하게 다뤄온 올해 4... 
인천공항 면세점 입찰  현대百 웃고 신세계 울었다,코로나19 확산으로 면세점 업황이 급격기 기울고 있는 가운데 높은 인천공항의 임대료가 부담스러웠던... 코로나19로 인천공항 방문객이 줄어들면서 매출이 급감했기 때문이다. 높은 최소보장금 때문에 이익보다... 
[김학준의 시선] 대형 로펌과 정의,그런 로펌이 코로나19 대량감염 사태를 일으킨 신천지교회 논란에 등장해 눈길을 끈다. 한때 신천지의 2인자였던 김남희(여)씨는 방송에서 신천지와 소송 중이라고 밝힌 뒤 &quot;신천지는 우리나라에서 제일 큰 로펌 1  2위 다... 
KPGA 회원 및 임직원  코로나19 극복 위해 4750만원 기부,한국프로골프협회(KPGA) 회원과 임직원들이 신종 코로나바이러스 감염증(코로나19) 극복을 위한 기부에 동참했다. 9일 KPGA는 회원들과 임직원의 모금 운동으로 조성된 4 750만 원을 대한적십자사에 전달했다. KPGA는 지난... 
경기도  전국 최초 코로나19 소비자 피해 중재 나선다,경기도가 코로나19에 따른 결혼예식  여행계약 등의 취소로 인한 위약금 분쟁에 대해 직접 조정에 나선다.... 경기도는 경기도 공정거래지원센터와 경기도 소비자정보센터가 협력해 9일부터 '코로나19 소비자 피해... 
분당서울대병원 확진 직원은 신천지 교인…&quot;센터 폐쇄&quot;,신아람 기자  정부가 코로나19 전체 확진자 중에 80% 정도가 집단 감염에서 비롯됐다고 집계했죠?... 이 여성은 자신이 신천지 교인이라는 걸 병원에 신고하지 않았고  어제 코로나19 검사를 받고도 오늘 정상 출근한 것으로... 
&quot;다양한 시나리오 검토&quot;... 프로배구  리그 재개 논의 시작,프로배구 V리그는 신종 코로나 바이러스 감염증(코로나19) 사태가 확산하자 지난달 25일부터 무관중 경기로 개최했고  선수와 팬들의 안전을 위해 3일부터 리그를 중단했다. 막판 순위 싸움을 펼치던 남자부와 여자부 각... 
